ID,Path,Result,SkipPercentage
1,$[0].name,0,0.00000000000000000
2,$[*].name,0,0.00000000000000000
3,$[0].email,0,0.00000000000000000
4,$[*].email,0,0.00000000000000000
5,$[0].address,0,0.00000000000000000
6,$[*].address,0,0.00000000000000000
7,$[0].phone,0,0.00000000000000000
8,$[*].phone,0,0.00000000000000000
9,$[0].website,0,0.00000000000000000
10,$[*].website,0,0.00000000000000000
11,$[1].name,0,0.00000000000000000
12,$[1].email,0,0.00000000000000000
13,$..address,0,0.00000000000000000
14,$..phone,0,0.00000000000000000
15,$..website,0,0.00000000000000000
16,$..name,0,0.00000000000000000
