QUERY_ID,QUERY_TEXT,COUNT_RESULT,SKIP_PERCENTAGE
1,$.ctRoot[0].name,0,0.00000000000000000
2,$.ctRoot[*].name,0,0.00000000000000000
3,$.ctRoot[0].dob,0,0.00000000000000000
4,$.ctRoot[*].dob,0,0.00000000000000000
5,$.ctRoot[0].address.street,0,0.00000000000000000
6,$.ctRoot[*].address.street,0,0.00000000000000000
7,$.ctRoot[0].address.town,0,0.00000000000000000
8,$.ctRoot[*].address.town,0,0.00000000000000000
9,$.ctRoot[0].address.postode,0,0.00000000000000000
10,$.ctRoot[*].address.postode,0,0.00000000000000000
11,$.ctRoot[0].telephone,0,0.00000000000000000
12,$.ctRoot[*].telephone,0,0.00000000000000000
13,$.ctRoot[0].pets,0,0.00000000000000000
14,$.ctRoot[*].pets,0,0.00000000000000000
15,$.ctRoot[0].score,0,0.00000000000000000
16,$.ctRoot[*].score,0,0.00000000000000000
17,$.ctRoot[0].email,0,0.00000000000000000
18,$.ctRoot[*].email,0,0.00000000000000000
19,$.ctRoot[0].url,0,0.00000000000000000
20,$.ctRoot[*].url,0,0.00000000000000000
21,$.ctRoot[0].description,0,0.00000000000000000
22,$.ctRoot[*].description,0,0.00000000000000000
23,$.ctRoot[0].verified,0,0.00000000000000000
24,$.ctRoot[*].verified,0,0.00000000000000000
25,$.ctRoot[0].salary,0,0.00000000000000000
26,$.ctRoot[*].salary,0,0.00000000000000000
