QUERY_ID,QUERY_TEXT,COUNT_RESULT,SKIP_PERCENTAGE
1,$.cfgs[*].Name,0,0.00000000000000000
2,$.cfgs[1].ID,0,0.00000000000000000
6,$.cfgs[*].Color,0,0.00000000000000000
7,$.cfgs[*].Habitat,0,0.00000000000000000
8,$.cfgs[6].Shape,0,0.00000000000000000
10,$.cfgs[*].BaseStats,0,0.00000000000000000
11,$.cfgs[*].Abilities,0,0.00000000000000000
12,$.cfgs[9].Moves,0,0.00000000000000000
13,$.cfgs[*].Moves[*].moveName,0,0.00000000000000000
14,$.cfgs[*].Moves[*].levelLearnedAt,0,0.00000000000000000
16,$..Genus,0,0.00000000000000000
18,$..Height,0,0.00000000000000000
19,$..Weight,0,0.00000000000000000
