QUERY_ID,QUERY_TEXT,COUNT_RESULT,SKIP_PERCENTAGE
1,$[*].name,0,0.00000000000000000
2,$[1].email,0,0.00000000000000000
3,$[2].address,0,0.00000000000000000
4,$[3].phone,0,0.00000000000000000
5,$[4].website,0,0.00000000000000000
6,$[5].name,0,0.00000000000000000
7,$[6].email,0,0.00000000000000000
8,$[7].address,0,0.00000000000000000
9,$[8].phone,0,0.00000000000000000
10,$[9].website,0,0.00000000000000000
11,$[10].name,0,0.00000000000000000
12,$[11].email,0,0.00000000000000000
13,$[12].address,0,0.00000000000000000
14,$[13].phone,0,0.00000000000000000
15,$[14].website,0,0.00000000000000000
16,$..name,0,0.00000000000000000
17,$..email,0,0.00000000000000000
18,$..address,0,0.00000000000000000
19,$..phone,0,0.00000000000000000
20,$..website,0,0.00000000000000000
